"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Defense Response To Symbiont (GO:0140546)","19/148",3.10126159949156e-31,6.73821163500003e-29,0,0,153.744186046512,10800.272145788,"RSAD2;STAT1;MX1;IFI6;IFIT5;EIF2AK2;DDX60L;ISG15;DDX60;IFIT1;IFIT3;OASL;IFIT2;PLSCR1;OAS1;IFI27;OAS2;OAS3;IRF7"
"Defense Response To Virus (GO:0051607)","20/189",3.32751191851853e-31,6.73821163500003e-29,0,0,130.131492439185,9132.35655882359,"RSAD2;STAT1;MX1;IFI6;IFIT5;EIF2AK2;DDX60L;ISG15;DDX60;IFIT1;USP18;IFIT3;OASL;IFIT2;PLSCR1;OAS1;IFI27;OAS2;OAS3;IRF7"
"Negative Regulation Of Viral Process (GO:0048525)","12/61",5.21132859374607e-22,7.0352936015572e-20,0,0,187.563579277865,9191.74774612266,"PLSCR1;RSAD2;OAS1;STAT1;OAS2;OAS3;MX1;IFIT5;EIF2AK2;ISG15;IFIT1;OASL"
"Negative Regulation Of Viral Genome Replication (GO:0045071)","11/53",1.69999090961331e-20,1.72124079598347e-18,0,0,193.227513227513,8795.92488612422,"PLSCR1;RSAD2;OAS1;OAS2;OAS3;MX1;IFIT5;EIF2AK2;ISG15;IFIT1;OASL"
"Regulation Of Viral Genome Replication (GO:0045069)","11/67",2.81699006583482e-19,2.2817619533262e-17,0,0,144.818783068783,6185.70953172026,"PLSCR1;RSAD2;OAS1;OAS2;OAS3;MX1;IFIT5;EIF2AK2;ISG15;IFIT1;OASL"
"Interleukin-27-Mediated Signaling Pathway (GO:0070106)","5/5",1.88232726279223e-14,1.27057090238476e-12,0,0,99810,3154363.53883765,"OAS1;OAS2;STAT1;MX1;OASL"
"Antiviral Innate Immune Response (GO:0140374)","7/46",2.52432673813806e-12,1.46050332706559e-10,0,0,115.352357320099,3080.49009231631,"OAS1;MX1;EIF2AK2;IFIT1;USP18;IFIT3;IFIT2"
"Regulation Of Ribonuclease Activity (GO:0060700)","4/5",5.52878203613006e-11,2.79894590579084e-09,0,0,2348.35294117647,55464.4999170742,"OAS1;OAS2;OAS3;OASL"
"Response To Cytokine (GO:0034097)","8/125",7.75628512840189e-11,3.49032830778085e-09,0,0,45.2307692307692,1052.96925569773,"PLSCR1;STAT1;LAMP3;MX1;EIF2AK2;ISG15;LGALS9;XAF1"
"Regulation Of Nuclease Activity (GO:0032069)","4/6",1.65641833950674e-10,6.7084942750023e-09,0,0,1174.11764705882,26442.5304692173,"OAS1;OAS2;OAS3;OASL"
"Positive Regulation Of Type I Interferon Production (GO:0032481)","6/64",2.15144542904874e-09,7.92123089786126e-08,0,0,64.3448275862069,1284.13782696068,"OAS1;STAT1;OAS2;OAS3;IRF7;ISG15"
"Positive Regulation Of Interferon-Beta Production (GO:0032728)","5/36",6.80190131067448e-09,2.29564169235264e-07,0,0,97.4144672531769,1831.98267250349,"OAS1;OAS2;OAS3;IRF7;ISG15"
"Negative Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060339)","4/15",1.4891178932395e-08,4.63917497509229e-07,0,0,213.379679144385,3845.63458824911,"OAS1;OAS3;ISG15;USP18"
"Regulation Of Interferon-Beta Production (GO:0032648)","5/50",3.74993314212725e-08,1.08480208754396e-06,0,0,67.0606060606061,1146.66546266354,"OAS1;OAS2;OAS3;IRF7;ISG15"
"Response To Interferon-Beta (GO:0035456)","4/29",2.54228168392447e-07,6.86416054659607e-06,0,0,93.8211764705882,1424.67772389015,"PLSCR1;OAS1;STAT1;XAF1"
"Positive Regulation Of Monocyte Chemotactic Protein-1 Production (GO:0071639)","3/8",3.52008445418295e-07,8.9102137746506e-06,0,0,342.12,5083.7700020682,"OAS1;OAS3;LGALS9"
