"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903555)","3/8",1.67982034343884e-05,0.0210313506998543,0,0,89.5894736842105,984.968051139423,"CX3CR1;ZFP36;SIRPA"
"B Cell Mediated Immunity (GO:0019724)","3/15",0.000131803845900881,0.0561121987529831,0,0,37.3157894736842,333.386567966125,"FCER1G;TLR8;CSF2RB"
"Positive Regulation Of Interleukin-4 Production (GO:0032753)","3/18",0.000232872749686033,0.0561121987529831,0,0,29.8481203007519,249.680075290572,"CEBPB;FCER1G;RARA"
"Positive Regulation Of Innate Immune Response (GO:0045089)","4/45",0.000245504100469295,0.0561121987529831,0,0,14.6511456023651,121.783207179715,"RBM47;SPI1;TLR8;FPR2"
"Cellular Defense Response (GO:0006968)","4/48",0.00031560305893053,0.0561121987529831,0,0,13.6501377410468,110.034105359797,"CX3CR1;SPN;C5AR1;MNDA"
"Positive Regulation Of Cytokine Production (GO:0001819)","9/320",0.000347601060632489,0.0561121987529831,0,0,4.45545231283389,35.485249954907,"CEBPB;FCER1G;NFAM1;RARA;CYP1B1;TLR8;LTB;ZBTB7B;HSPA1A"
"Positive Regulation Of Fat Cell Differentiation (GO:0045600)","4/50",0.000369637833523952,0.0561121987529831,0,0,13.0553359683794,103.176148611052,"ZFP36;CEBPB;TFE3;ZBTB7B"
"Negative Regulation Of Myeloid Leukocyte Mediated Immunity (GO:0002887)","2/5",0.000452889084648196,0.0561121987529831,0,0,98.8109452736318,760.830772011607,"CX3CR1;SPI1"
"Protein Localization To Membrane Raft (GO:1903044)","2/5",0.000452889084648196,0.0561121987529831,0,0,98.8109452736318,760.830772011607,"MYADM;FLOT2"
"Regulation Of Interleukin-4 Production (GO:0032673)","3/23",0.000492998551344101,0.0561121987529831,0,0,22.3804511278195,170.427232075071,"CEBPB;FCER1G;RARA"
"Immune Response-Activating Cell Surface Receptor Signaling Pathway (GO:0002429)","3/23",0.000492998551344101,0.0561121987529831,0,0,22.3804511278195,170.427232075071,"FCER1G;C5AR1;FPR2"
"Regulation Of Heterotypic Cell-Cell Adhesion (GO:0034114)","3/24",0.000560633679381202,0.0584927805487721,0,0,21.3136412459721,159.56335697813,"IL1RN;MYADM;FLOT2"
"Myeloid Cell Differentiation (GO:0030099)","4/57",0.000611142603362189,0.0588577338007277,0,0,11.3270440251572,83.8221672891346,"CEBPB;SPI1;EVI2B;RASGRP4"
"Regulation Of I-kappaB Phosphorylation (GO:1903719)","2/6",0.000676305625679485,0.0604810459536225,0,0,74.1044776119403,540.878613191998,"CX3CR1;SIRPA"
"Positive Regulation Of Phagocytosis (GO:0050766)","4/60",0.00074267897121178,0.0619889381304766,0,0,10.7186147186147,77.2302630904539,"FCER1G;MYO18A;SIRPA;FPR2"
"Regulation Of Nitric Oxide Metabolic Process (GO:0080164)","2/7",0.000942609225955019,0.0737591719309802,0,0,59.2805970149254,412.999546359481,"CX3CR1;SIRPA"
"Immunoglobulin Mediated Immune Response (GO:0016064)","3/30",0.0010915854315695,0.077961734688177,0,0,16.5722639933166,113.024897303639,"FCER1G;TLR8;CSF2RB"
"Negative Regulation Of Cellular Process (GO:0048523)","11/537",0.0011208556105329,0.077961734688177,0,0,3.23525475285171,21.9792303396913,"SPN;NOTCH1;CTBP2;WAS;CYP1B1;ULK1;TP53I11;S100A11;PML;PPP1R9B;HSPA1A"
"Golgi Ribbon Formation (GO:0090161)","2/8",0.00125121493895877,0.0824484791355992,0,0,49.3980099502488,330.158527501242,"MYO18A;TMED5"
"Negative Regulation Of Cytokine Production (GO:0001818)","6/178",0.00138188412540175,0.0865059462501494,0,0,5.28407871198569,34.791998579971,"SRGN;ZFP36;BCL3;RARA;SIRPA;TLR8"
"Negative Regulation Of Heterotypic Cell-Cell Adhesion (GO:0034115)","2/9",0.00160154367735468,0.0871796819151332,0,0,42.3390191897655,272.527261714093,"IL1RN;MYADM"
"Regulation Of Granulocyte Differentiation (GO:0030852)","2/9",0.00160154367735468,0.0871796819151332,0,0,42.3390191897655,272.527261714093,"RARA;EVI2B"
"Regulation Of Cell-Cell Adhesion Involved In Gastrulation (GO:0070587)","2/9",0.00160154367735468,0.0871796819151332,0,0,42.3390191897655,272.527261714093,"IL1RN;MYADM"
"Regulation Of Tumor Necrosis Factor Production (GO:0032680)","5/127",0.00176919738701016,0.0922931303556966,0,0,6.17632336378426,39.1407773187168,"SPN;CX3CR1;ZFP36;RARA;SIRPA"
"Regulation Of Erythrocyte Differentiation (GO:0045646)","3/36",0.00186344412887367,0.0933212819739932,0,0,13.555023923445,85.1977825396699,"ZFP36;SPI1;HSPA1A"
"Negative Regulation Of Sprouting Angiogenesis (GO:1903671)","2/10",0.00199302216464295,0.0959716826974218,0,0,37.044776119403,230.348237840605,"EPN1;KLF2"
"mRNA Transcription By RNA Polymerase II (GO:0042789)","3/38",0.00217999503750962,0.10108717729489,0,0,12.7791621911923,78.3162351770632,"TAF13;C5AR1;RARA"
"Negative Regulation Of Lymphocyte Proliferation (GO:0050672)","3/39",0.00235000612035418,0.101206792444028,0,0,12.4235588972431,75.2039930481728,"SPN;CEBPB;MNDA"
"Regulation Of Nitric Oxide Biosynthetic Process (GO:0045428)","3/39",0.00235000612035418,0.101206792444028,0,0,12.4235588972431,75.2039930481728,"CX3CR1;SIRPA;KLF2"
"Complement Receptor Mediated Signaling Pathway (GO:0002430)","2/11",0.00242508288603901,0.101206792444028,0,0,32.9270315091211,198.282947792554,"C5AR1;FPR2"
"Negative Regulation Of Cell-Cell Adhesion (GO:0022408)","3/40",0.00252801303781307,0.101420757898663,0,0,12.0871774029669,72.2852086541248,"IL1RN;NOTCH1;MYADM"
"Regulation Of Interleukin-1 Beta Production (GO:0032651)","4/84",0.00259222384405528,0.101420757898663,0,0,7.49393939393939,44.6282012262851,"CX3CR1;SIRPA;TLR8;MNDA"
"Regulation Of Retinoic Acid Receptor Signaling Pathway (GO:0048385)","2/12",0.00289716403924836,0.103635696489684,0,0,29.6328358208955,173.174972254222,"CTBP2;KLF2"
"Positive Regulation Of Myeloid Leukocyte Mediated Immunity (GO:0002888)","2/12",0.00289716403924836,0.103635696489684,0,0,29.6328358208955,173.174972254222,"SPI1;CD177"
"Regulation Of Actomyosin Structure Organization (GO:0110020)","2/12",0.00289716403924836,0.103635696489684,0,0,29.6328358208955,173.174972254222,"WAS;SLC9A1"
"mRNA Transcription (GO:0009299)","3/43",0.00311123544585135,0.108201854950164,0,0,11.1789473684211,64.5331050094781,"TAF13;C5AR1;RARA"
"Regulation Of Cold-Induced Thermogenesis (GO:0120161)","5/146",0.00324085024932769,0.109428314732601,0,0,5.33890964214174,30.6022006120579,"CEBPB;NOTCH1;CNOT3;TFE3;ZBTB7B"
"Regulation Of Cell-Substrate Adhesion (GO:0010810)","3/44",0.00332243449579595,0.109428314732601,0,0,10.9057399596552,62.2396848433914,"NOTCH1;RAC2;MYADM"
"Positive Regulation Of Brown Fat Cell Differentiation (GO:0090336)","2/13",0.00340870948448198,0.109428314732601,0,0,26.9375848032564,153.043773718317,"TFE3;ZBTB7B"
