"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Cytoplasmic Translation (GO:0002181)","4/93",4.33462395256642e-06,0.00137000310185303,0,0,44.6898876404494,551.86986744323,"RPL5;RPL32;RPL29;RPL17"
"Translation (GO:0006412)","5/234",7.44566903180993e-06,0.00137000310185303,0,0,22.692484486325,267.950089071814,"RPL5;RPL32;DRG1;RPL29;RPL17"
"Gene Expression (GO:0010467)","5/296",2.31623286103925e-05,0.00283141569666987,0,0,17.8015916078857,189.996091116148,"RPL5;RPL32;RPL29;RPL17;HSPD1"
"Peptide Biosynthetic Process (GO:0043043)","4/158",3.52209805977883e-05,0.00283141569666987,0,0,25.7428571428571,263.963874871529,"RPL5;RPL32;RPL29;RPL17"
"Negative Regulation Of Ubiquitin Protein Ligase Activity (GO:1904667)","2/8",3.84703219656233e-05,0.00283141569666987,0,0,302.575757575758,3075.87122326126,"RPL5;RPL17"
"Macromolecule Biosynthetic Process (GO:0009059)","4/183",6.24542981303512e-05,0.0038305302853282,0,0,22.1195530726257,214.141063291717,"RPL5;RPL32;RPL29;RPL17"
"Protein Stabilization (GO:0050821)","4/208",0.000102575124234836,0.0053925208169171,0,0,19.3843137254902,178.04327600469,"RPL5;SUMO1;RPL17;HSPD1"
"Regulation Of Ubiquitin Protein Ligase Activity (GO:1904666)","2/17",0.00018562933966781,0.0075901774441949,0,0,120.975757575758,1039.39451401119,"RPL5;RPL17"
"Negative Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051444)","2/17",0.00018562933966781,0.0075901774441949,0,0,120.975757575758,1039.39451401119,"RPL5;RPL17"
"Regulation Of Mitotic Spindle Assembly (GO:1901673)","2/20",0.000258766107087523,0.00952259274082086,0,0,100.79797979798,832.549579311163,"DRG1;CHMP3"
"Negative Regulation Of Proteolysis Involved In Protein Catabolic Process (GO:1903051)","2/25",0.000407085006397053,0.0136188438503741,0,0,78.8656126482213,615.663500818195,"RPL5;RPL17"
"Regulation Of Spindle Assembly (GO:0090169)","2/29",0.000549310620169256,0.0168455256851905,0,0,67.1683501683502,504.222493283727,"DRG1;CHMP3"
"Regulation Of Protein Import Into Nucleus (GO:0042306)","2/38",0.000944900443290856,0.0244167376669842,0,0,50.3535353535354,350.683721922939,"SUMO1;RBM22"
"Negative Regulation Of Ubiquitin-Dependent Protein Catabolic Process (GO:2000059)","2/39",0.000995247459252071,0.0244167376669842,0,0,48.990171990172,338.645501992966,"RPL5;RPL17"
"Regulation Of Mitotic Spindle Organization (GO:0060236)","2/39",0.000995247459252071,0.0244167376669842,0,0,48.990171990172,338.645501992966,"DRG1;CHMP3"
"Regulation Of Ubiquitin-Dependent Protein Catabolic Process (GO:2000058)","2/42",0.00115388499003732,0.0265393547708584,0,0,45.3090909090909,306.498817790288,"RPL5;RPL17"
"Regulation Of Signal Transduction By P53 Class Mediator (GO:1901796)","2/47",0.00144343149625669,0.0312460465072037,0,0,40.2646464646465,263.360262271824,"RPL5;RPL17"
"Negative Regulation Of Protein Modification By Small Protein Conjugation Or Removal (GO:1903321)","2/54",0.00190101824022825,0.038865261800222,0,0,34.8321678321678,218.236266821471,"RPL5;SUMO1"
"Protein-Containing Complex Disassembly (GO:0032984)","2/62",0.00249745447151991,0.0474251391652921,0,0,30.1757575757576,180.827722650455,"CHMP3;RPL17"
