Gene.stable.ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene.name
ENSG00000002745,115.629561515297,-1.15037492972449,0.272405102382708,-4.22303003747816,2.41039681009579e-05,0.006939264594398,WNT16
ENSG00000021300,52.1206202494721,-0.785017466439903,0.201575019058298,-3.89441841606805,9.84346136209788e-05,0.0166333098190406,PLEKHB1
ENSG00000055118,34.5017571693671,-1.0256575167802,0.271804289303559,-3.77351483086683,0.000160963645960507,0.0233863629916079,KCNH2
ENSG00000076604,522.185607086572,-0.585967028953043,0.122021920867796,-4.80214558815138,1.56974491733843e-06,0.00122016272424716,TRAF4
ENSG00000080561,20.3023280566946,-1.2260809247671,0.359864791820191,-3.40705996428716,0.000656666985714726,0.0455738614282193,MID2
ENSG00000104783,706.904473255348,-0.746858066218534,0.217282327927351,-3.43727017904672,0.000587609146118013,0.0432937051447897,KCNN4
ENSG00000116396,61.055896494882,-0.760439409131102,0.172335097403517,-4.41256262124341,1.02154234166195e-05,0.0037811660103516,KCNC4
ENSG00000116771,78.1348479165129,-0.513874782950762,0.127465224537446,-4.03149003828726,5.54243461466774e-05,0.0126738342677057,AGMAT
ENSG00000125726,45.7656989224263,-1.09308249217465,0.308526018404769,-3.54291835037583,0.000395725203640191,0.0350877354748915,CD70
ENSG00000128268,325.382698259651,-0.774030217383633,0.217409030412493,-3.56024869765095,0.00037050373315626,0.0349081880948317,MGAT3
ENSG00000128438,675.766029524717,-0.923501982208983,0.231653917548846,-3.98655888050871,6.703849683339e-05,0.0138957396236251,TBC1D27P
ENSG00000129250,330.930617101603,-0.655322944892079,0.181966805287036,-3.60133236311076,0.000316590533907951,0.0324855335180508,KIF1C
ENSG00000130812,51.1674914033344,-0.741457118678533,0.207934074309169,-3.56582787665715,0.000362709377711294,0.0345931287478514,ANGPTL6
ENSG00000133612,97.2199299098759,-1.0459688646903,0.25483037566419,-4.10456901758311,4.05069329964513e-05,0.00993424842603598,AGAP3
ENSG00000135423,23.9579512706022,-0.801047513331455,0.207609281438338,-3.85843786839257,0.000114114068728356,0.0181022174739901,GLS2
ENSG00000145911,373.141714947598,-0.557744725786002,0.142408148084908,-3.91652256760939,8.98354097859949e-05,0.0156013769563357,N4BP3
ENSG00000147642,75.0156971507968,-0.850135222521339,0.210649050561084,-4.03578948140009,5.44189955457912e-05,0.0126738342677057,SYBU
ENSG00000149782,53.505130732161,-0.500742617108712,0.136273151186844,-3.67455080291013,0.000238268233571672,0.0284432687944718,PLCB3
ENSG00000150627,65.1005645460879,-0.814723074856538,0.219730358298546,-3.70783118530021,0.000209041930800654,0.0272637579842666,WDR17
ENSG00000154122,273.20962450386,-0.581731207300645,0.14185250936504,-4.1009581705998,4.11442936167346e-05,0.00993424842603598,ANKH
ENSG00000157833,15.6019109308979,-1.00835617355896,0.276666618237521,-3.64466150626554,0.000267743957503469,0.0298847222876163,GAREM2
ENSG00000160284,28.2662470774325,-0.826790807537718,0.206816040971825,-3.99771122033205,6.39579117897138e-05,0.0134363472524715,SPATC1L
ENSG00000162437,45.5453212165029,-1.33217136346651,0.363662715932907,-3.66320578134901,0.000249078278715553,0.0286116986063993,RAVER2
ENSG00000162783,1148.198359537,-0.759647303197495,0.157359681158676,-4.82745832734303,1.3828661372946e-06,0.00120081748841263,IER5
ENSG00000163520,142.801572922182,-0.982214638788991,0.26078424482906,-3.76638795580928,0.000165626361405124,0.023622269856918,FBLN2
ENSG00000163568,701.413759233377,-0.71017391437591,0.209107501452454,-3.39621443249556,0.000683248103320999,0.0467919604151025,AIM2
ENSG00000163686,104.050231239311,-0.614066968315679,0.128756204203356,-4.76922236186638,1.84938433933629e-06,0.00131723795899673,ABHD6
ENSG00000163874,315.537039497154,-0.512913145811063,0.15199815008464,-3.37446965983105,0.000739580680726748,0.0497728193185196,ZC3H12A
ENSG00000165810,165.751563559991,-1.8552904498752,0.426568365703469,-4.34933904865536,1.36548459605274e-05,0.00442246323546581,BTNL9
ENSG00000166086,384.738482860792,-0.69144609530284,0.196109256526985,-3.52582079779439,0.000422172530235757,0.0364616341946949,JAM3
ENSG00000166126,104.548169086568,-0.711549101206439,0.19379521221109,-3.67165469718308,0.000240985138578999,0.0284432687944718,AMN
ENSG00000167037,22.2746604312304,-1.45693884534649,0.305885137254117,-4.76302594635751,1.90711308270366e-06,0.00131723795899673,SGSM1
ENSG00000168679,32.5340054567034,-1.36071251902841,0.363676827549352,-3.74154308427517,0.000182893814584725,0.0255167471932176,SLC16A4
ENSG00000169896,549.70671426814,-0.696245900094089,0.168194406861019,-4.13953063652947,3.48017124245681e-05,0.00886930198938256,ITGAM
ENSG00000171056,20.1900534034282,-1.48353397108863,0.433034149724787,-3.42590525950779,0.000612754072896292,0.0441012723020637,SOX7
ENSG00000171766,205.747941172609,-0.782325734116018,0.212547331572536,-3.68071303614101,0.000232582644587847,0.0284432687944718,GATM
ENSG00000172508,317.233511290543,-0.776963184371926,0.196800573722681,-3.94797215107093,7.88159702872295e-05,0.0145865842153008,CARNS1
ENSG00000174473,55.2658263188617,-1.78958018422576,0.397172542835483,-4.5058003542985,6.6123235426527e-06,0.00286892436374418,GALNTL6
ENSG00000182809,106.239843883357,-1.14212270499545,0.316573726696407,-3.6077621377934,0.000308849435115129,0.032009155455332,CRIP2
ENSG00000196422,49.1151863421196,-0.680632690784123,0.175637590769724,-3.87521081222578,0.000106532430263553,0.0172515954258041,PPP1R26
ENSG00000197549,74.3470801548752,-1.30886683563162,0.313799497900074,-4.17102909466225,3.03227139645003e-05,0.00813545800555299,PRAMENP
ENSG00000199631,41.6554875949371,-1.36394076077946,0.37667461541982,-3.62100525213066,0.000293460556548895,0.0310349511027831,SNORD33
ENSG00000239961,169.021437064156,-2.1716208031672,0.4888768329252,-4.44206118374087,8.91012143815843e-06,0.00346291869694027,LILRA4
ENSG00000248334,12.1960161583399,-1.00798434463033,0.283881611754049,-3.5507208036554,0.000384177726877741,0.0350877354748915,WHAMMP2
ENSG00000254140,13.8431214273862,-1.3000862446504,0.361150690722953,-3.59984427012414,0.000318407816570497,0.0324855335180508,ENSG00000254140
ENSG00000255595,11.9006944403536,-1.89188870408869,0.479028692800205,-3.9494266888889,7.83385987287415e-05,0.0145865842153008,LINC02350
